"filename", "language", "wxss", "Markdown", "JSON", "wxml", "JavaScript", "comment", "blank", "total"
"g:\Project\MiniProgram\tanei\README.md", "Markdown", 0, 46, 0, 0, 0, 0, 8, 54
"g:\Project\MiniProgram\tanei\cloudfunctionTemplate\adminHelper.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 54
"g:\Project\MiniProgram\tanei\cloudfunctionTemplate\messageHelper.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 43
"g:\Project\MiniProgram\tanei\cloudfunctionTemplate\repairSheetHelper.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 55
"g:\Project\MiniProgram\tanei\cloudfunctionTemplate\statisticsHelper.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 20
"g:\Project\MiniProgram\tanei\cloudfunctionTemplate\usersHelper.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 17
"g:\Project\MiniProgram\tanei\cloudfunctions\adminHelper\index.js", "JavaScript", 0, 0, 0, 0, 652, 127, 2, 781
"g:\Project\MiniProgram\tanei\cloudfunctions\adminHelper\package-lock.json", "JSON", 0, 0, 923, 0, 0, 0, 1, 924
"g:\Project\MiniProgram\tanei\cloudfunctions\adminHelper\package.json", "JSON", 0, 0, 15, 0, 0, 0, 1, 16
"g:\Project\MiniProgram\tanei\cloudfunctions\messageHelper\index.js", "JavaScript", 0, 0, 0, 0, 568, 35, 3, 606
"g:\Project\MiniProgram\tanei\cloudfunctions\messageHelper\package-lock.json", "JSON", 0, 0, 923, 0, 0, 0, 1, 924
"g:\Project\MiniProgram\tanei\cloudfunctions\messageHelper\package.json", "JSON", 0, 0, 15, 0, 0, 0, 1, 16
"g:\Project\MiniProgram\tanei\cloudfunctions\repairSheetHelper\index.js", "JavaScript", 0, 0, 0, 0, 660, 125, 3, 788
"g:\Project\MiniProgram\tanei\cloudfunctions\repairSheetHelper\package-lock.json", "JSON", 0, 0, 928, 0, 0, 0, 1, 929
"g:\Project\MiniProgram\tanei\cloudfunctions\repairSheetHelper\package.json", "JSON", 0, 0, 16, 0, 0, 0, 1, 17
"g:\Project\MiniProgram\tanei\cloudfunctions\statisticsHelper\index.js", "JavaScript", 0, 0, 0, 0, 258, 5, 2, 265
"g:\Project\MiniProgram\tanei\cloudfunctions\statisticsHelper\package-lock.json", "JSON", 0, 0, 923, 0, 0, 0, 1, 924
"g:\Project\MiniProgram\tanei\cloudfunctions\statisticsHelper\package.json", "JSON", 0, 0, 15, 0, 0, 0, 1, 16
"g:\Project\MiniProgram\tanei\cloudfunctions\usersHelper\index.js", "JavaScript", 0, 0, 0, 0, 344, 196, 4, 544
"g:\Project\MiniProgram\tanei\cloudfunctions\usersHelper\package-lock.json", "JSON", 0, 0, 923, 0, 0, 0, 1, 924
"g:\Project\MiniProgram\tanei\cloudfunctions\usersHelper\package.json", "JSON", 0, 0, 15, 0, 0, 0, 1, 16
"g:\Project\MiniProgram\tanei\miniprogram\app.js", "JavaScript", 0, 0, 0, 0, 86, 2, 1, 89
"g:\Project\MiniProgram\tanei\miniprogram\app.json", "JSON", 0, 0, 61, 0, 0, 0, 0, 61
"g:\Project\MiniProgram\tanei\miniprogram\app.wxss", "wxss", 95, 0, 0, 0, 0, 0, 13, 108
"g:\Project\MiniProgram\tanei\miniprogram\colorui\components\cu-custom.js", "JavaScript", 0, 0, 0, 0, 54, 12, 0, 66
"g:\Project\MiniProgram\tanei\miniprogram\colorui\components\cu-custom.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"g:\Project\MiniProgram\tanei\miniprogram\colorui\components\cu-custom.wxml", "wxml", 0, 0, 0, 16, 0, 0, 0, 16
"g:\Project\MiniProgram\tanei\miniprogram\colorui\components\cu-custom.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\colorui\icon.wxss", "wxss", 925, 0, 0, 0, 0, 0, 302, 1227
"g:\Project\MiniProgram\tanei\miniprogram\colorui\main.wxss", "wxss", 3286, 0, 0, 0, 0, 0, 656, 3942
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\about\about.js", "JavaScript", 0, 0, 0, 0, 51, 0, 1, 52
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\about\about.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\about\about.wxml", "wxml", 0, 0, 0, 32, 0, 0, 1, 33
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\about\about.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\detailSheet\detailSheet.js", "JavaScript", 0, 0, 0, 0, 207, 0, 1, 208
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\detailSheet\detailSheet.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\detailSheet\detailSheet.wxml", "wxml", 0, 0, 0, 159, 0, 0, 8, 167
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\detailSheet\detailSheet.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\messageBox\messageBox.js", "JavaScript", 0, 0, 0, 0, 494, 7, 3, 504
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\messageBox\messageBox.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\messageBox\messageBox.wxml", "wxml", 0, 0, 0, 134, 0, 0, 6, 140
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\messageBox\messageBox.wxss", "wxss", 22, 0, 0, 0, 0, 0, 5, 27
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\myRepairSheet\myRepairSheet.js", "JavaScript", 0, 0, 0, 0, 331, 1, 0, 332
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\myRepairSheet\myRepairSheet.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\myRepairSheet\myRepairSheet.wxml", "wxml", 0, 0, 0, 68, 0, 0, 2, 70
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\myRepairSheet\myRepairSheet.wxss", "wxss", 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\algorithm.js", "JavaScript", 0, 0, 0, 0, 121, 0, 0, 121
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\algorithm.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\algorithm.wxml", "wxml", 0, 0, 0, 75, 0, 0, 1, 76
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\algorithm.wxss", "wxss", 356, 0, 0, 0, 0, 0, 57, 413
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\1.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 26
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\2.js", "JavaScript", 0, 0, 0, 0, 100, 0, 1, 101
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\4.js", "JavaScript", 0, 0, 0, 0, 42, 0, 3, 45
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\5.js", "JavaScript", 0, 0, 0, 0, 1138, 0, 3, 1141
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\6.js", "JavaScript", 0, 0, 0, 0, 258, 1, 7, 266
"g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\7.js", "JavaScript", 0, 0, 0, 0, 104, 1, 13, 118
